Shape_Leng,Shape_Area,ADM2_EN,ADM2_PCODE,ADM2_REF,ADM2ALT1EN,ADM2ALT2EN,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,SD_EN,SD_PCODE
1.45234174835,0.05585505059,Mani,NG021026,Mani,,,Katsina,NG021,Nigeria,NG,2016-11-29,2019-04-17,,Katsina North,NG02102
2.42125399616,0.22922922271,Maradun,NG037009,Maradun,,,Zamfara,NG037,Nigeria,NG,2016-11-29,2019-04-17,,Zamfara West,NG03703
3.57432602104,0.47689022880,Mariga,NG027015,Mariga,,,Niger,NG027,Nigeria,NG,2016-11-29,2019-04-17,,Niger North,NG02702
1.05158013642,0.04738693481,Markafi,NG019018,Markafi,,,Kaduna,NG019,Nigeria,NG,2016-11-29,2019-04-17,,Kaduna North,NG01902
2.27292552236,0.24592176674,Marte,NG008022,Marte,,,Borno,NG008,Nigeria,NG,2016-11-29,2019-04-17,,Borno North,NG00802
5.08944359845,0.59795923299,Maru,NG037010,Maru,,,Zamfara,NG037,Nigeria,NG,2016-11-29,2019-04-17,,Zamfara Central,NG03701
4.49860486321,0.76663408566,Mashegu,NG027016,Mashegu,,,Niger,NG027,Nigeria,NG,2016-11-29,2019-04-17,,Niger North,NG02702
1.45379114279,0.07822464596,Mashi,NG021027,Mashi,,,Katsina,NG021,Nigeria,NG,2016-11-29,2019-04-17,,Katsina North,NG02102
0.96170142523,0.04484499470,Matazu,NG021028,Matazu,,,Katsina,NG021,Nigeria,NG,2016-11-29,2019-04-17,,Katsina South,NG02103
2.72893133991,0.17341168199,Mayo-Belwa,NG002012,Mayo-Belwa,,,Adamawa,NG002,Nigeria,NG,2016-11-29,2019-04-17,,Adamawa South,NG00203
0.60058141756,0.01632340217,Mbaitoli,NG017011,Mbaitoli,,,Imo,NG017,Nigeria,NG,2016-11-29,2019-04-17,,Imo East,NG01701
1.93319801877,0.01967997994,Mbo,NG003017,Mbo,,,Akwa Ibom,NG003,Nigeria,NG,2016-11-29,2019-04-17,,Akwa Ibom South,NG00303
1.11393528386,0.06696603017,Michika,NG002013,Michika,,,Adamawa,NG002,Nigeria,NG,2016-11-29,2019-04-17,,Adamawa North,NG00202
1.01238527805,0.04727750913,Miga,NG018022,Miga,,,Jigawa,NG018,Nigeria,NG,2016-11-29,2019-04-17,,Jigawa South-West,NG01803
1.28916434885,0.06456868627,Mikang,NG032012,Mikang,,,Plateau,NG032,Nigeria,NG,2016-11-29,2019-04-17,,Plateau South,NG03203
0.88308061867,0.03583927928,Minjibir,NG020030,Minjibir,,,Kano,NG020,Nigeria,NG,2016-11-29,2019-04-17,,Kano Central,NG02002
1.41550177094,0.08263457377,Misau,NG005014,Misau,,,Bauchi,NG005,Nigeria,NG,2016-11-29,2019-04-17,,Bauchi Central,NG00501
0.98354708688,0.02854798009,Mkpat Enin,NG003018,Mkpat Enin,,,Akwa Ibom,NG003,Nigeria,NG,2016-11-29,2019-04-17,,Akwa Ibom South,NG00303
0.58897033194,0.01617161933,Moba,NG013015,Moba,,,Ekiti,NG013,Nigeria,NG,2016-11-29,2019-04-17,,Ekiti North,NG01303
2.53484467267,0.22542219045,Mobbar,NG008023,Mobbar,,,Borno,NG008,Nigeria,NG,2016-11-29,2019-04-17,,Borno North,NG00802
6.76815542887,0.43607648448,Mokwa,NG027017,Mokwa,,,Niger,NG027,Nigeria,NG,2016-11-29,2019-04-17,,Niger South,NG02703
2.42372789328,0.15737943478,Monguno,NG008024,Monguno,,,Borno,NG008,Nigeria,NG,2016-11-29,2019-04-17,,Borno North,NG00802
1.26616991739,0.06836567719,Mopa-Muro,NG023013,Mopa-Muro,,,Kogi,NG023,Nigeria,NG,2016-11-29,2019-04-17,,Kogi West,NG02303
2.30668897644,0.25648299069,Moro,NG024012,Moro,,,Kwara,NG024,Nigeria,NG,2016-11-29,2019-04-17,,Kwara North,NG02402
1.04665664981,0.06219804863,Mubi North,NG002014,Mubi North,,,Adamawa,NG002,Nigeria,NG,2016-11-29,2019-04-17,,Adamawa North,NG00202
0.97472422395,0.04147766963,Mubi South,NG002015,Mubi South,,,Adamawa,NG002,Nigeria,NG,2016-11-29,2019-04-17,,Adamawa North,NG00202
1.36679969728,0.06541722609,Musawa,NG021029,Musawa,,,Katsina,NG021,Nigeria,NG,2016-11-29,2019-04-17,,Katsina South,NG02103
0.18203573139,0.00135357651,Mushin,NG025016,Mushin,,,Lagos,NG025,Nigeria,NG,2016-11-29,2019-04-17,,Lagos West,NG02501
2.06467173097,0.17199121656,Muya,NG027018,Muya,,,Niger,NG027,Nigeria,NG,2016-11-29,2019-04-17,,Niger East,NG02701
1.68258609431,0.13055925728,Nafada,NG016009,Nafada,,,Gombe,NG016,Nigeria,NG,2016-11-29,2019-04-17,,Gombe North,NG01602
1.77422623266,0.08660006514,Nangere,NG036012,Nangere,,,Yobe,NG036,Nigeria,NG,2016-11-29,2019-04-17,,Yobe South,NG03603
0.28623706589,0.00346014813,Nasarawa,NG020031,Nasarawa,,,Kano,NG020,Nigeria,NG,2016-11-29,2019-04-17,,Kano Central,NG02002
2.85965406536,0.39842879938,Nasarawa,NG026009,Nasarawa,,,Nasarawa,NG026,Nigeria,NG,2016-11-29,2019-04-17,,Nassarawa West,NG02603
1.59194107715,0.10340592184,Nasarawa-Eggon,NG026010,Nasarawa-Eggon,,,Nasarawa,NG026,Nigeria,NG,2016-11-29,2019-04-17,,Nassarawa North,NG02602
2.30040476430,0.13136371064,Ndokwa East,NG010011,Ndokwa East,,,Delta,NG010,Nigeria,NG,2016-11-29,2019-04-17,,Delta North,NG01002
1.58181212754,0.06710975793,Ndokwa West,NG010012,Ndokwa West,,,Delta,NG010,Nigeria,NG,2016-11-29,2019-04-17,,Delta North,NG01002
1.76205838575,0.11433563602,Nembe,NG006004,Nembe,,,Bayelsa,NG006,Nigeria,NG,2016-11-29,2019-04-17,,Bayelsa East,NG00602
1.80749449654,0.11991994334,Ngala,NG008025,Ngala,,,Borno,NG008,Nigeria,NG,2016-11-29,2019-04-17,,Borno Central,NG00801
2.30622185711,0.19237176017,Nganzai,NG008026,Nganzai,,,Borno,NG008,Nigeria,NG,2016-11-29,2019-04-17,,Borno North,NG00802
3.06883675838,0.21526357051,Ngaski,NG022015,Ngaski,,,Kebbi,NG022,Nigeria,NG,2016-11-29,2019-04-17,,Kebbi South,NG02203
0.98511905449,0.04423173997,Ngor-Okpala,NG017012,Ngor-Okpala,,,Imo,NG017,Nigeria,NG,2016-11-29,2019-04-17,,Imo East,NG01701
1.18674730509,0.06803592914,Nguru,NG036013,Nguru,,,Yobe,NG036,Nigeria,NG,2016-11-29,2019-04-17,,Yobe North,NG03602
2.62679618563,0.38458089359,Ningi,NG005015,Ningi,,,Bauchi,NG005,Nigeria,NG,2016-11-29,2019-04-17,,Bauchi Central,NG00501
0.42441674585,0.00640494875,Njaba,NG017013,Njaba,,,Imo,NG017,Nigeria,NG,2016-11-29,2019-04-17,,Imo West,NG01703
0.46166104699,0.00796170529,Njikoka,NG004013,Njikoka,,,Anambra,NG004,Nigeria,NG,2016-11-29,2019-04-17,,Anambra Central,NG00401
1.38034324744,0.06212423012,Nkanu East,NG014011,Nkanu East,,,Enugu,NG014,Nigeria,NG,2016-11-29,2019-04-17,,Enugu East,NG01402
0.71061306332,0.02083205303,Nkanu West,NG014012,Nkanu West,,,Enugu,NG014,Nigeria,NG,2016-11-29,2019-04-17,,Enugu East,NG01402
0.27461175029,0.00286104447,Nkwerre,NG017014,Nkwerre,,,Imo,NG017,Nigeria,NG,2016-11-29,2019-04-17,,Imo West,NG01703
0.33104037822,0.00560197241,Nnewi North,NG004014,Nnewi North,,,Anambra,NG004,Nigeria,NG,2016-11-29,2019-04-17,,Anambra South,NG00403
0.55923035468,0.01259560206,Nnewi South,NG004015,Nnewi South,,,Anambra,NG004,Nigeria,NG,2016-11-29,2019-04-17,,Anambra South,NG00403
0.51674202690,0.01065737370,Nsit Atai,NG003019,Nsit Atai,,,Akwa Ibom,NG003,Nigeria,NG,2016-11-29,2019-04-17,,Akwa Ibom North East,NG00301
0.53242848304,0.01065237235,Nsit Ibom,NG003020,Nsit Ibom,,,Akwa Ibom,NG003,Nigeria,NG,2016-11-29,2019-04-17,,Akwa Ibom North East,NG00301
